source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,bcg,zeroshot,20.2 \pm 11.75,13.47 \pm 10.1,17.94 \pm 16.23,41.24 \pm 16.02,9.76 \pm 0.26,8.73 \pm 6.43,11.53 \pm 5.18,15.59 \pm 9.49
bcg,ppgbp,fullfinetuning,41.83 \pm 6.07,16.27 \pm 4.84,7.92 \pm 1.81,30.89 \pm 5.33,22.59 \pm 5.76,7.16 \pm 1.7,6.56 \pm 0.65,14.27 \pm 1.7
bcg,ppgbp,linearprobing,38.41 \pm 8.22,16.55 \pm 5.56,9.7 \pm 3.56,31.6 \pm 4.6,21.15 \pm 2.97,7.34 \pm 2.12,7.54 \pm 1.3,15.26 \pm 3.79
bcg,ppgbp,scratch,37.98 \pm 6.1,12.88 \pm 1.63,8.58 \pm 0.89,34.25 \pm 2.71,22.02 \pm 3.69,6.35 \pm 1.04,6.63 \pm 0.59,14.93 \pm 2.22
bcg,ppgbp,zeroshot,31.81 \pm 3.36,12.3 \pm 6.23,18.57 \pm 11.5,44.54 \pm 12.09,13.44 \pm 8.51,8.85 \pm 5.5,13.79 \pm 6.71,25.23 \pm 6.9
bcg,sensors,fullfinetuning,34.22 \pm 2.55,13.4 \pm 2.41,9.84 \pm 1.65,34.9 \pm 3.85,7.26 \pm 2.0,5.59 \pm 0.73,6.51 \pm 0.28,11.51 \pm 1.4
bcg,sensors,linearprobing,39.94 \pm 5.73,17.75 \pm 5.51,8.08 \pm 1.75,31.25 \pm 5.71,13.87 \pm 2.99,10.12 \pm 2.2,7.97 \pm 1.14,9.93 \pm 0.95
bcg,sensors,scratch,33.9 \pm 2.86,12.96 \pm 1.58,9.2 \pm 2.01,34.77 \pm 2.46,7.61 \pm 1.02,5.62 \pm 0.29,6.46 \pm 0.22,11.26 \pm 1.17
bcg,sensors,zeroshot,31.77 \pm 14.7,17.57 \pm 1.85,13.36 \pm 13.63,37.95 \pm 13.99,13.33 \pm 6.01,10.82 \pm 3.53,9.56 \pm 2.06,11.41 \pm 3.02
ppgbp,bcg,fullfinetuning,35.85 \pm 8.13,11.38 \pm 4.48,8.8 \pm 4.99,24.65 \pm 7.45,13.27 \pm 6.5,6.12 \pm 2.25,8.31 \pm 1.52,10.35 \pm 5.32
ppgbp,bcg,linearprobing,32.84 \pm 1.97,10.23 \pm 1.35,8.83 \pm 1.47,25.12 \pm 4.77,9.95 \pm 4.58,5.93 \pm 0.58,9.42 \pm 1.52,11.77 \pm 3.76
